source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
derived/reporting table,Class Bible / people source,KLCP136 客服Summary - 136 Bible,tblPjqpKbr4esCqe,19,1,0,KLCP136 学员 - 2 Call; KLCP136 全款; KLCP136 确认; KLCP136 - 3 Message; KLCP136 学员 - 确认; KLCP136 教练 - 问卷; 期别; KLCP136 教练 - 3 Message; KLCP136 教练 - 全款; KLCP136 连报; KLCP136 教练 - 2 Call; KLCP136 教练 - 连报; KLCP136 - 2 Call; KLCP136 教练 - 确认; KLCP136 学员 - 问卷; KLCP136 学员 - 全款; KLCP136 学员 - 3 Message; KLCP136 学员 - 连报; KLCP136 问卷,Grid,
derived/reporting table,Class Bible / people source,KLCP137 客服Summary - 136 Bible,tblc3T0qqRVOAot7,19,1,0,KLCP136 教练 - 确认; KLCP136 全款; KLCP136 教练 - 连报; KLCP136 连报; KLCP136 问卷; KLCP136 教练 - 问卷; KLCP136 教练 - 2 Call; KLCP136 学员 - 全款; KLCP136 - 3 Message; KLCP136 教练 - 3 Message; KLCP136 - 2 Call; KLCP136 学员 - 2 Call; 期别; KLCP136 学员 - 确认; KLCP136 学员 - 问卷; KLCP136 学员 - 连报; KLCP136 学员 - 3 Message; KLCP136 教练 - 全款; KLCP136 确认,Grid,
source table,Class Bible / people source,✅✅136教练-NEWBIBLE_（Dcode),tbl4giebTphkBEOk,15,3,0,华语名字; SourceID; 基础2Call; 基础问卷; EMO 华语名字; 基础 - 全款/订金; 全报; 基础1call; 基础1 Call Status; EMO期别; 序号; 基础C1-3信息; 基础确认期别; 基础确认当班; 英文名字,❌Whole Masterlist(不能删&不能动任何东西）; Grid 2(dashboard_view); Grid 2(dashboard_view) Copy,
source table,Class Bible / people source,✅✅136学员-NEWBIBLE_（Dcode),tblxsleQz4s0SfWU,15,3,0,英文名字; 基础2Call; 基础 - 全款/订金; 序号; 基础确认当班; SourceID; EMO 华语名字; 基础1 Call Status; 基础1call; 全报; 华语名字; 基础C1-3信息; EMO期别; 基础问卷; 基础确认期别,Bible (不能删&不能动任何东西）; Grid 2(dashboard_view); Grid 2(dashboard_view) Copy,
working table,Class Bible / people source,✅.Dcode海星_基础Whole Bible,tblpT6tSnNpDtg5p,20,1,0,全报; 总费用; 基础已进课室+英文名字; 【基础】付费方式; 基础问卷; 膳食费用; 英文名字; 结果期别; EMO 华语名字; 补款; 基础确认期别; 【基础】付费方式_2; 华语名字; SourceID; EMO期别; 余款; 酒店费用; 基础学费; 定金; 基础确认当班,Dcode_WholeBible,
